Size,Runtime
(bytes),(seconds)
      5120,0.00219798
      6144,0.00228310
      7168,0.00219989
      8192,0.00219917
     10240,0.00219798
     12288,0.00219893
     14336,0.00219917
     16384,0.00219893
     20480,0.00219893
     24576,0.00220108
     28672,0.00220299
     32768,0.00220394
     40960,0.00220180
     49152,0.00220299
     57344,0.00220203
     65536,0.00220299
     81920,0.00220299
     98304,0.00220203
    114688,0.00220203
    131072,0.00220203
    163840,0.00220203
    196608,0.00220203
    229376,0.00220299
    262144,0.00220203
    327680,0.00220299
    393216,0.00220299
    458752,0.00220180
    524288,0.00220299
    655360,0.00220299
    786432,0.00220299
    917504,0.00220203
   1048576,0.00220299
   1310720,0.00220203
   1572864,0.00220299
   1835008,0.00220203
   2097152,0.00220203
   2621440,0.00220299
   3145728,0.00220299
   3670016,0.00220394
   4194304,0.00220299
   5242880,0.00220513
   6291456,0.00221086
   7340032,0.00221300
   8388608,0.00222397
  10485760,0.00222611
  12582912,0.00223112
  14680064,0.00227785
  16777216,0.00227904
  20971520,0.00227809
  25165824,0.00227690
  29360128,0.00226593
  33554432,0.00228214
  41943040,0.00223684
  50331648,0.00222206
  58720256,0.00222802
  67108864,0.00228095
  83886080,0.00228000
 100663296,0.00228000
 117440512,0.00228000
 134217728,0.00222588
 167772160,0.00235510
 201326592,0.00230622
 234881024,0.00228405
 268435456,0.00227904
