Size,Runtime
(bytes),(seconds)
      5120,0.00225687
      6144,0.00225592
      7168,0.00224113
      8192,0.00219917
     10240,0.00219798
     12288,0.00219893
     14336,0.00219893
     16384,0.00219989
     20480,0.00219893
     24576,0.00220299
     28672,0.00220609
     32768,0.00220418
     40960,0.00220513
     49152,0.00220203
     57344,0.00220299
     65536,0.00226188
     81920,0.00224113
     98304,0.00220203
    114688,0.00220203
    131072,0.00224710
    163840,0.00220299
    196608,0.00220299
    229376,0.00220203
    262144,0.00220299
    327680,0.00220299
    393216,0.00220299
    458752,0.00220299
    524288,0.00220299
    655360,0.00226307
    786432,0.00220299
    917504,0.00220299
   1048576,0.00220299
   1310720,0.00220299
   1572864,0.00233388
   1835008,0.00220394
   2097152,0.00220323
   2621440,0.00220299
   3145728,0.00220299
   3670016,0.00220394
   4194304,0.00220490
   5242880,0.00221014
   6291456,0.00222182
   7340032,0.00221586
   8388608,0.00221992
  10485760,0.00222111
  12582912,0.00222492
  14680064,0.00222588
  16777216,0.00222206
  20971520,0.00222397
  25165824,0.00222206
  29360128,0.00222206
  33554432,0.00221896
  41943040,0.00222111
  50331648,0.00222516
  58720256,0.00221992
  67108864,0.00222087
  83886080,0.00228000
 100663296,0.00227904
 117440512,0.00227880
 134217728,0.00221920
 167772160,0.00235510
 201326592,0.00230622
 234881024,0.00228405
 268435456,0.00238705
