Size,Runtime
(bytes),(seconds)
      5120,0.00219798
      6144,0.00225711
      7168,0.00219989
      8192,0.00219893
     10240,0.00219798
     12288,0.00219893
     14336,0.00222993
     16384,0.00219893
     20480,0.00220490
     24576,0.00220490
     28672,0.00220490
     32768,0.00220585
     40960,0.00220299
     49152,0.00220299
     57344,0.00220203
     65536,0.00220299
     81920,0.00220203
     98304,0.00220299
    114688,0.00220299
    131072,0.00220203
    163840,0.00220203
    196608,0.00220203
    229376,0.00220203
    262144,0.00220299
    327680,0.00220299
    393216,0.00220203
    458752,0.00220299
    524288,0.00220299
    655360,0.00220299
    786432,0.00220203
    917504,0.00220299
   1048576,0.00220299
   1310720,0.00220299
   1572864,0.00220299
   1835008,0.00220299
   2097152,0.00220299
   2621440,0.00220299
   3145728,0.00220299
   3670016,0.00220299
   4194304,0.00220609
   5242880,0.00220490
   6291456,0.00221300
   7340032,0.00221801
   8388608,0.00222182
  10485760,0.00222301
  12582912,0.00222397
  14680064,0.00221920
  16777216,0.00222206
  20971520,0.00222301
  25165824,0.00221992
  29360128,0.00222611
  33554432,0.00222111
  41943040,0.00222087
  50331648,0.00222206
  58720256,0.00222492
  67108864,0.00222898
  83886080,0.00222397
 100663296,0.00222397
 117440512,0.00221992
 134217728,0.00222802
 167772160,0.00221896
 201326592,0.00222182
 234881024,0.00227904
 268435456,0.00222683
