Size,Runtime
(bytes),(seconds)
      5120,0.00233102
      6144,0.00233603
      7168,0.00234699
      8192,0.00234389
     10240,0.00233698
     12288,0.00234485
     14336,0.00234008
     16384,0.00234795
     20480,0.00234485
     24576,0.00237179
     28672,0.00239897
     32768,0.00237393
     40960,0.00235510
     49152,0.00234890
     57344,0.00233912
     65536,0.00234818
     81920,0.00235105
     98304,0.00234890
    114688,0.00235510
    131072,0.00234795
    163840,0.00235295
    196608,0.00238013
    229376,0.00240517
    262144,0.00236106
    327680,0.00232887
    393216,0.00233603
    458752,0.00233698
    524288,0.00233603
    655360,0.00233912
    786432,0.00235510
    917504,0.00235295
   1048576,0.00235415
   1310720,0.00235891
   1572864,0.00237894
   1835008,0.00235510
   2097152,0.00234890
   2621440,0.00236797
   3145728,0.00237322
   3670016,0.00236416
   4194304,0.00236392
   5242880,0.00237608
   6291456,0.00234222
   7340032,0.00235391
   8388608,0.00235701
  10485760,0.00234985
  12582912,0.00241399
  14680064,0.00239301
  16777216,0.00239491
  20971520,0.00241303
  25165824,0.00281310
  29360128,0.00291419
  33554432,0.00241494
  41943040,0.00241899
  50331648,0.00236201
  58720256,0.00241995
  67108864,0.00239801
  83886080,0.00238609
 100663296,0.00236797
 117440512,0.00235605
 134217728,0.00240898
 167772160,0.00235391
 201326592,0.00237799
 234881024,0.00235486
 268435456,0.00241804
