Size,Runtime
(bytes),(seconds)
      5120,0.00219798
      6144,0.00225592
      7168,0.00219989
      8192,0.00219893
     10240,0.00219798
     12288,0.00219893
     14336,0.00219798
     16384,0.00219893
     20480,0.00220585
     24576,0.00220490
     28672,0.00220299
     32768,0.00220394
     40960,0.00220203
     49152,0.00220299
     57344,0.00220299
     65536,0.00220299
     81920,0.00220203
     98304,0.00220299
    114688,0.00220180
    131072,0.00220299
    163840,0.00220299
    196608,0.00220203
    229376,0.00220299
    262144,0.00220299
    327680,0.00220299
    393216,0.00220299
    458752,0.00220299
    524288,0.00220299
    655360,0.00220299
    786432,0.00220299
    917504,0.00220299
   1048576,0.00220299
   1310720,0.00220203
   1572864,0.00220299
   1835008,0.00220299
   2097152,0.00220299
   2621440,0.00220299
   3145728,0.00220394
   3670016,0.00220203
   4194304,0.00220394
   5242880,0.00220895
   6291456,0.00221491
   7340032,0.00221586
   8388608,0.00228500
  10485760,0.00266600
  12582912,0.00262189
  14680064,0.00263119
  16777216,0.00222015
  20971520,0.00222206
  25165824,0.00221896
  29360128,0.00221777
  33554432,0.00222015
  41943040,0.00221896
  50331648,0.00222683
  58720256,0.00222182
  67108864,0.00222301
  83886080,0.00222301
 100663296,0.00222182
 117440512,0.00222278
 134217728,0.00222111
 167772160,0.00222111
 201326592,0.00222278
 234881024,0.00221992
 268435456,0.00222206
