Size,Runtime
(bytes),(seconds)
      5120,0.00219798
      6144,0.00225592
      7168,0.00219989
      8192,0.00219893
     10240,0.00219703
     12288,0.00219893
     14336,0.00219798
     16384,0.00219893
     20480,0.00220490
     24576,0.00220490
     28672,0.00220490
     32768,0.00220513
     40960,0.00220299
     49152,0.00220203
     57344,0.00220203
     65536,0.00220299
     81920,0.00220299
     98304,0.00220299
    114688,0.00220203
    131072,0.00220299
    163840,0.00220203
    196608,0.00220299
    229376,0.00220299
    262144,0.00220203
    327680,0.00220299
    393216,0.00220299
    458752,0.00220299
    524288,0.00220299
    655360,0.00220299
    786432,0.00220394
    917504,0.00220299
   1048576,0.00220299
   1310720,0.00220490
   1572864,0.00247717
   1835008,0.00247693
   2097152,0.00248003
   2621440,0.00220299
   3145728,0.00220299
   3670016,0.00220299
   4194304,0.00220394
   5242880,0.00221086
   6291456,0.00221491
   7340032,0.00221896
   8388608,0.00222301
  10485760,0.00222182
  12582912,0.00236487
  14680064,0.00261402
  16777216,0.00221896
  20971520,0.00221896
  25165824,0.00221992
  29360128,0.00221896
  33554432,0.00222182
  41943040,0.00263786
  50331648,0.00260305
  58720256,0.00222206
  67108864,0.00222182
  83886080,0.00222111
 100663296,0.00221896
 117440512,0.00222898
 134217728,0.00228190
 167772160,0.00228906
 201326592,0.00221801
 234881024,0.00227809
 268435456,0.00223184
