Size,Runtime
(bytes),(seconds)
      5120,0.00225782
      6144,0.00225592
      7168,0.00232315
      8192,0.00232291
     10240,0.00226092
     12288,0.00232291
     14336,0.00229287
     16384,0.00230217
     20480,0.00225902
     24576,0.00225902
     28672,0.00226402
     32768,0.00226498
     40960,0.00226307
     49152,0.00226402
     57344,0.00226188
     65536,0.00226188
     81920,0.00220394
     98304,0.00220299
    114688,0.00220203
    131072,0.00220203
    163840,0.00220299
    196608,0.00220299
    229376,0.00220180
    262144,0.00220203
    327680,0.00220299
    393216,0.00220299
    458752,0.00220299
    524288,0.00220299
    655360,0.00220299
    786432,0.00226307
    917504,0.00226402
   1048576,0.00220394
   1310720,0.00220299
   1572864,0.00220394
   1835008,0.00220299
   2097152,0.00220299
   2621440,0.00220203
   3145728,0.00220299
   3670016,0.00220299
   4194304,0.00220490
   5242880,0.00220895
   6291456,0.00221395
   7340032,0.00221705
   8388608,0.00221705
  10485760,0.00222397
  12582912,0.00222683
  14680064,0.00222492
  16777216,0.00222111
  20971520,0.00221896
  25165824,0.00222206
  29360128,0.00221896
  33554432,0.00222206
  41943040,0.00221992
  50331648,0.00222301
  58720256,0.00222611
  67108864,0.00222397
  83886080,0.00222516
 100663296,0.00222516
 117440512,0.00222492
 134217728,0.00223303
 167772160,0.00258994
 201326592,0.00222802
 234881024,0.00222015
 268435456,0.00222301
