Size,Runtime
(bytes),(seconds)
      5120,0.00225711
      6144,0.00219703
      7168,0.00225902
      8192,0.00225902
     10240,0.00225711
     12288,0.00219893
     14336,0.00219798
     16384,0.00225902
     20480,0.00220013
     24576,0.00225902
     28672,0.00226116
     32768,0.00220203
     40960,0.00220203
     49152,0.00220299
     57344,0.00220203
     65536,0.00220203
     81920,0.00220299
     98304,0.00220203
    114688,0.00220299
    131072,0.00232506
    163840,0.00220299
    196608,0.00220203
    229376,0.00220203
    262144,0.00220203
    327680,0.00220299
    393216,0.00226617
    458752,0.00232697
    524288,0.00220299
    655360,0.00220299
    786432,0.00220418
    917504,0.00220394
   1048576,0.00220299
   1310720,0.00220299
   1572864,0.00220299
   1835008,0.00220394
   2097152,0.00220203
   2621440,0.00220203
   3145728,0.00220394
   3670016,0.00226402
   4194304,0.00248790
   5242880,0.00251794
   6291456,0.00228381
   7340032,0.00221801
   8388608,0.00222707
  10485760,0.00222683
  12582912,0.00222182
  14680064,0.00221395
  16777216,0.00222301
  20971520,0.00224113
  25165824,0.00222588
  29360128,0.00222206
  33554432,0.00221992
  41943040,0.00221801
  50331648,0.00222707
  58720256,0.00221801
  67108864,0.00222182
  83886080,0.00222301
 100663296,0.00222182
 117440512,0.00222588
 134217728,0.00222278
 167772160,0.00221896
 201326592,0.00222993
 234881024,0.00222206
 268435456,0.00221992
