Size,Runtime
(bytes),(seconds)
      5120,0.00225687
      6144,0.00225592
      7168,0.00225902
      8192,0.00225902
     10240,0.00219798
     12288,0.00225806
     14336,0.00225687
     16384,0.00220084
     20480,0.00219893
     24576,0.00220513
     28672,0.00219893
     32768,0.00220513
     40960,0.00220299
     49152,0.00220299
     57344,0.00223994
     65536,0.00220203
     81920,0.00226188
     98304,0.00220203
    114688,0.00220203
    131072,0.00220299
    163840,0.00220299
    196608,0.00226498
    229376,0.00237513
    262144,0.00226402
    327680,0.00226402
    393216,0.00226378
    458752,0.00226212
    524288,0.00226307
    655360,0.00226402
    786432,0.00234890
    917504,0.00233197
   1048576,0.00229907
   1310720,0.00226212
   1572864,0.00226283
   1835008,0.00226307
   2097152,0.00220299
   2621440,0.00220299
   3145728,0.00220299
   3670016,0.00220299
   4194304,0.00220394
   5242880,0.00220990
   6291456,0.00227904
   7340032,0.00228000
   8388608,0.00229287
  10485760,0.00228095
  12582912,0.00228310
  14680064,0.00228310
  16777216,0.00228190
  20971520,0.00222397
  25165824,0.00223398
  29360128,0.00227880
  33554432,0.00228000
  41943040,0.00227809
  50331648,0.00227785
  58720256,0.00223207
  67108864,0.00221992
  83886080,0.00228000
 100663296,0.00233102
 117440512,0.00228119
 134217728,0.00227904
 167772160,0.00228000
 201326592,0.00222611
 234881024,0.00221801
 268435456,0.00228000
