Size,Runtime
(bytes),(seconds)
      5120,0.00245595
      6144,0.00219607
      7168,0.00219989
      8192,0.00219893
     10240,0.00219989
     12288,0.00219893
     14336,0.00219989
     16384,0.00219893
     20480,0.00219893
     24576,0.00220895
     28672,0.00223184
     32768,0.00223494
     40960,0.00266099
     49152,0.00291991
     57344,0.00309300
     65536,0.00322104
     81920,0.00339603
     98304,0.00352716
    114688,0.00361490
    131072,0.00365996
    163840,0.00374603
    196608,0.00380301
    229376,0.00384092
    262144,0.00390887
    327680,0.00601983
    393216,0.00733590
    458752,0.00824714
    524288,0.00894904
    655360,0.00971103
    786432,0.01033807
    917504,0.01106215
   1048576,0.01128101
   1310720,0.01158881
   1572864,0.01208496
   1835008,0.01231003
   2097152,0.01222301
   2621440,0.01245403
   3145728,0.01260900
   3670016,0.01271701
   4194304,0.01371717
   5242880,0.02070594
   6291456,0.02896500
   7340032,0.03952312
   8388608,0.04434800
  10485760,0.06775808
  12582912,0.07380700
  14680064,0.07656598
  16777216,0.08352089
  20971520,0.09252906
  25165824,0.09975910
  29360128,0.10335517
  33554432,0.10441804
  41943040,0.10762000
  50331648,0.10659695
  58720256,0.11323905
  67108864,0.11399508
  83886080,0.12011909
 100663296,0.11875296
 117440512,0.12230611
 134217728,0.12427211
 167772160,0.12613511
 201326592,0.12678003
 234881024,0.12665892
 268435456,0.12709999
