Size,Runtime
(bytes),(seconds)
      5120,0.00242400
      6144,0.00219607
      7168,0.00219989
      8192,0.00219893
     10240,0.00219703
     12288,0.00219893
     14336,0.00219798
     16384,0.00219893
     20480,0.00220585
     24576,0.00220704
     28672,0.00221109
     32768,0.00222898
     40960,0.00266194
     49152,0.00292087
     57344,0.00310612
     65536,0.00322700
     81920,0.00339580
     98304,0.00353193
    114688,0.00360084
    131072,0.00366092
    163840,0.00374794
    196608,0.00380397
    229376,0.00383687
    262144,0.00390792
    327680,0.00596499
    393216,0.00720882
    458752,0.00812292
    524288,0.00892496
    655360,0.00972414
    786432,0.01032805
    917504,0.01075006
   1048576,0.01108980
   1310720,0.01155782
   1572864,0.01186085
   1835008,0.01206684
   2097152,0.01222897
   2621440,0.01246405
   3145728,0.01260996
   3670016,0.01461291
   4194304,0.01337290
   5242880,0.01724982
   6291456,0.02460289
   7340032,0.03610396
   8388608,0.04852009
  10485760,0.06773400
  12582912,0.07056308
  14680064,0.07338381
  16777216,0.08449507
  20971520,0.09272599
  25165824,0.09156299
  29360128,0.10607886
  33554432,0.10228395
  41943040,0.11027002
  50331648,0.10991907
  58720256,0.11303782
  67108864,0.11466599
  83886080,0.11862087
 100663296,0.11191297
 117440512,0.12331986
 134217728,0.12500215
 167772160,0.12589788
 201326592,0.12771821
 234881024,0.12869406
 268435456,0.12785506
