Size,Runtime
(bytes),(seconds)
      5120,0.00246716
      6144,0.00220203
      7168,0.00219703
      8192,0.00219893
     10240,0.00219798
     12288,0.00219893
     14336,0.00219798
     16384,0.00219893
     20480,0.00219893
     24576,0.00220704
     28672,0.00220704
     32768,0.00222588
     40960,0.00265002
     49152,0.00291514
     57344,0.00308490
     65536,0.00323296
     81920,0.00339890
     98304,0.00350404
    114688,0.00361085
    131072,0.00365782
    163840,0.00374293
    196608,0.00379801
    229376,0.00384593
    262144,0.00390911
    327680,0.00595999
    393216,0.00724792
    458752,0.00813293
    524288,0.00879908
    655360,0.00972199
    786432,0.01034594
    917504,0.01076484
   1048576,0.01107788
   1310720,0.01154304
   1572864,0.01184201
   1835008,0.01205802
   2097152,0.01222801
   2621440,0.01245117
   3145728,0.01302505
   3670016,0.01271582
   4194304,0.01329803
   5242880,0.01952982
   6291456,0.02224207
   7340032,0.03696203
   8388608,0.04548216
  10485760,0.06230497
  12582912,0.07509398
  14680064,0.08270097
  16777216,0.08324981
  20971520,0.08806396
  25165824,0.10053301
  29360128,0.10141110
  33554432,0.10291600
  41943040,0.09682798
  50331648,0.11266279
  58720256,0.11328506
  67108864,0.11509514
  83886080,0.11701679
 100663296,0.12178302
 117440512,0.12303400
 134217728,0.12344003
 167772160,0.12617087
 201326592,0.12691808
 234881024,0.12628007
 268435456,0.12892485
