Size,Runtime
(bytes),(seconds)
      5120,0.00244498
      6144,0.00219703
      7168,0.00219989
      8192,0.00219893
     10240,0.00220013
     12288,0.00219893
     14336,0.00219989
     16384,0.00219893
     20480,0.00221014
     24576,0.00220299
     28672,0.00221205
     32768,0.00222898
     40960,0.00267601
     49152,0.00291610
     57344,0.00308299
     65536,0.00322413
     81920,0.00340700
     98304,0.00352001
    114688,0.00360203
    131072,0.00366187
    163840,0.00374293
    196608,0.00380707
    229376,0.00384092
    262144,0.00390911
    327680,0.00594091
    393216,0.00724721
    458752,0.00814605
    524288,0.00879598
    655360,0.00970387
    786432,0.01032090
    917504,0.01076603
   1048576,0.01108885
   1310720,0.01153994
   1572864,0.01183987
   1835008,0.01206183
   2097152,0.01222706
   2621440,0.01244807
   3145728,0.01341200
   3670016,0.01371694
   4194304,0.01437688
   5242880,0.01779699
   6291456,0.02679706
   7340032,0.03885102
   8388608,0.04599619
  10485760,0.06115484
  12582912,0.06964803
  14680064,0.07896900
  16777216,0.07931805
  20971520,0.09251690
  25165824,0.09589314
  29360128,0.09724498
  33554432,0.10199213
  41943040,0.10813308
  50331648,0.11223006
  58720256,0.11337614
  67108864,0.11388397
  83886080,0.10955501
 100663296,0.12225199
 117440512,0.12463021
 134217728,0.11393094
 167772160,0.12723017
 201326592,0.12731814
 234881024,0.12617397
 268435456,0.12195683
