Size,Runtime
(bytes),(seconds)
      5120,0.00244713
      6144,0.00219607
      7168,0.00220084
      8192,0.00219893
     10240,0.00219703
     12288,0.00219893
     14336,0.00219989
     16384,0.00219893
     20480,0.00220585
     24576,0.00220704
     28672,0.00222206
     32768,0.00221801
     40960,0.00266004
     49152,0.00292301
     57344,0.00311494
     65536,0.00322390
     81920,0.00340199
     98304,0.00352502
    114688,0.00359416
    131072,0.00365996
    163840,0.00374699
    196608,0.00441790
    229376,0.00462604
    262144,0.00390816
    327680,0.00594091
    393216,0.00727701
    458752,0.00814295
    524288,0.00880408
    655360,0.00972700
    786432,0.01031590
    917504,0.01079202
   1048576,0.01109099
   1310720,0.01155305
   1572864,0.01186609
   1835008,0.01206517
   2097152,0.01222205
   2621440,0.01263404
   3145728,0.01260495
   3670016,0.01370716
   4194304,0.01909494
   5242880,0.02552605
   6291456,0.02780104
   7340032,0.03724504
   8388608,0.04618001
  10485760,0.06051207
  12582912,0.07213092
  14680064,0.07803488
  16777216,0.08380389
  20971520,0.09083509
  25165824,0.09536409
  29360128,0.09960794
  33554432,0.10930085
  41943040,0.10743308
  50331648,0.11356091
  58720256,0.11230898
  67108864,0.11634612
  83886080,0.11742187
 100663296,0.11994505
 117440512,0.12372279
 134217728,0.12495399
 167772160,0.12431192
 201326592,0.12610722
 234881024,0.12834311
 268435456,0.12718892
