Size,Runtime
(bytes),(seconds)
      5120,0.00239491
      6144,0.00219679
      7168,0.00219989
      8192,0.00219893
     10240,0.00220084
     12288,0.00219893
     14336,0.00220013
     16384,0.00219893
     20480,0.00220990
     24576,0.00220680
     28672,0.00221610
     32768,0.00222707
     40960,0.00265408
     49152,0.00291395
     57344,0.00309300
     65536,0.00321317
     81920,0.00340414
     98304,0.00351787
    114688,0.00360417
    131072,0.00365686
    163840,0.00374913
    196608,0.00380111
    229376,0.00384283
    262144,0.00391102
    327680,0.00594687
    393216,0.00722098
    458752,0.00814199
    524288,0.00880790
    655360,0.00970888
    786432,0.01032782
    917504,0.01075101
   1048576,0.01109600
   1310720,0.01155591
   1572864,0.01185107
   1835008,0.01206779
   2097152,0.01222801
   2621440,0.01245904
   3145728,0.01260805
   3670016,0.01273108
   4194304,0.01366401
   5242880,0.02369404
   6291456,0.03282213
   7340032,0.03595495
   8388608,0.04479408
  10485760,0.06139708
  12582912,0.07230210
  14680064,0.08414006
  16777216,0.08406305
  20971520,0.09290195
  25165824,0.09775114
  29360128,0.09818482
  33554432,0.11061215
  41943040,0.11027408
  50331648,0.11234283
  58720256,0.11343908
  67108864,0.11294413
  83886080,0.11968207
 100663296,0.12033701
 117440512,0.12260103
 134217728,0.12360501
 167772160,0.12697792
 201326592,0.11827612
 234881024,0.12782812
 268435456,0.12885809
