Size,Runtime
(bytes),(seconds)
      5120,0.00242996
      6144,0.00219703
      7168,0.00219989
      8192,0.00219893
     10240,0.00220084
     12288,0.00219893
     14336,0.00219798
     16384,0.00219893
     20480,0.00220299
     24576,0.00219893
     28672,0.00221586
     32768,0.00223494
     40960,0.00265002
     49152,0.00293398
     57344,0.00309205
     65536,0.00322294
     81920,0.00339699
     98304,0.00351501
    114688,0.00360799
    131072,0.00367498
    163840,0.00375509
    196608,0.00380421
    229376,0.00384092
    262144,0.00391388
    327680,0.00595403
    393216,0.00724387
    458752,0.00814509
    524288,0.00878882
    655360,0.00969219
    786432,0.01032019
    917504,0.01098680
   1048576,0.01130104
   1310720,0.01177287
   1572864,0.01207185
   1835008,0.01214504
   2097152,0.01239395
   2621440,0.01331902
   3145728,0.01286006
   3670016,0.01299000
   4194304,0.01534700
   5242880,0.01898313
   6291456,0.02607107
   7340032,0.03821492
   8388608,0.04764986
  10485760,0.06366801
  12582912,0.07631111
  14680064,0.07651806
  16777216,0.08414984
  20971520,0.09646201
  25165824,0.09730601
  29360128,0.09834790
  33554432,0.10126686
  41943040,0.10737610
  50331648,0.11173201
  58720256,0.11421299
  67108864,0.11541104
  83886080,0.12097216
 100663296,0.12202001
 117440512,0.12256384
 134217728,0.12372684
 167772160,0.12602496
 201326592,0.12300587
 234881024,0.12651992
 268435456,0.12886786
