Size,Runtime
(bytes),(seconds)
      5120,0.00245690
      6144,0.00219703
      7168,0.00219989
      8192,0.00219893
     10240,0.00219798
     12288,0.00219989
     14336,0.00219798
     16384,0.00219893
     20480,0.00219893
     24576,0.00219917
     28672,0.00221300
     32768,0.00223494
     40960,0.00265193
     49152,0.00290799
     57344,0.00309706
     65536,0.00322700
     81920,0.00340986
     98304,0.00352192
    114688,0.00360513
    131072,0.00366807
    163840,0.00375390
    196608,0.00427318
    229376,0.00384712
    262144,0.00391102
    327680,0.00592184
    393216,0.00724602
    458752,0.00814509
    524288,0.00878787
    655360,0.00973201
    786432,0.01031494
    917504,0.01080513
   1048576,0.01131797
   1310720,0.01177406
   1572864,0.01207805
   1835008,0.01207185
   2097152,0.01223779
   2621440,0.01247716
   3145728,0.01362801
   3670016,0.01274490
   4194304,0.01336694
   5242880,0.01729107
   6291456,0.02502203
   7340032,0.04026008
   8388608,0.04493189
  10485760,0.06054711
  12582912,0.07010794
  14680064,0.07657599
  16777216,0.08427215
  20971520,0.09191799
  25165824,0.10047698
  29360128,0.10033703
  33554432,0.10872793
  41943040,0.10761619
  50331648,0.11119008
  58720256,0.11386800
  67108864,0.11244512
  83886080,0.11763096
 100663296,0.12294912
 117440512,0.12333608
 134217728,0.11274981
 167772160,0.12515378
 201326592,0.11374497
 234881024,0.12760687
 268435456,0.12840009
