Size,Runtime
(bytes),(seconds)
      5120,0.00245810
      6144,0.00219679
      7168,0.00219989
      8192,0.00220084
     10240,0.00219679
     12288,0.00219893
     14336,0.00219798
     16384,0.00219893
     20480,0.00219893
     24576,0.00219893
     28672,0.00220799
     32768,0.00223708
     40960,0.00264192
     49152,0.00292110
     57344,0.00307393
     65536,0.00323606
     81920,0.00341082
     98304,0.00351787
    114688,0.00359797
    131072,0.00367594
    163840,0.00374293
    196608,0.00412202
    229376,0.00384688
    262144,0.00390410
    327680,0.00600290
    393216,0.00733590
    458752,0.00825000
    524288,0.00891209
    655360,0.00989604
    786432,0.01051497
    917504,0.01076198
   1048576,0.01110291
   1310720,0.01153684
   1572864,0.01208591
   1835008,0.01230693
   2097152,0.01247096
   2621440,0.01270795
   3145728,0.01287007
   3670016,0.01274610
   4194304,0.01409602
   5242880,0.01734400
   6291456,0.02751899
   7340032,0.03738713
   8388608,0.04911995
  10485760,0.05841088
  12582912,0.06908083
  14680064,0.07902408
  16777216,0.08409905
  20971520,0.09058309
  25165824,0.09683800
  29360128,0.10135794
  33554432,0.10344100
  41943040,0.10753608
  50331648,0.10972095
  58720256,0.11448503
  67108864,0.11628795
  83886080,0.11980700
 100663296,0.12272787
 117440512,0.12310791
 134217728,0.12441111
 167772160,0.12395096
 201326592,0.12555194
 234881024,0.12601995
 268435456,0.12692904
