Size,Runtime
(bytes),(seconds)
      2560,0.00199199
      3072,0.00199294
      3584,0.00199294
      4096,0.00199103
      5120,0.00199413
      6144,0.00199389
      7168,0.00195503
      8192,0.00197411
     10240,0.00199389
     12288,0.00199413
     14336,0.00199509
     16384,0.00195885
     20480,0.00199389
     24576,0.00197482
     28672,0.00198698
     32768,0.00199580
     40960,0.00199199
     49152,0.00199199
     57344,0.00198913
     65536,0.00195909
     81920,0.00199509
     98304,0.00199294
    114688,0.00199199
    131072,0.00199413
    163840,0.00199389
    196608,0.00198412
    229376,0.00199389
    262144,0.00196099
    327680,0.00199413
    393216,0.00199008
    458752,0.00198388
    524288,0.00199413
    655360,0.00199294
    786432,0.00199509
    917504,0.00199389
   1048576,0.00199103
   1310720,0.00199389
   1572864,0.00199318
   1835008,0.00199389
   2097152,0.00199389
   2621440,0.00199389
   3145728,0.00199389
   3670016,0.00198388
   4194304,0.00199199
   5242880,0.00199389
   6291456,0.00195885
   7340032,0.00199294
   8388608,0.00199318
  10485760,0.00198984
  12582912,0.00199413
  14680064,0.00198984
  16777216,0.00202179
  20971520,0.00199389
  25165824,0.00199294
  29360128,0.00199485
  33554432,0.00198984
  41943040,0.00199008
  50331648,0.00199389
  58720256,0.00199485
  67108864,0.00199389
  83886080,0.00199389
 100663296,0.00199389
 117440512,0.00198293
 134217728,0.00198793
