Size,Runtime
(bytes),(seconds)
      2560,0.00197101
      3072,0.00199389
      3584,0.00193405
      4096,0.00199485
      5120,0.00199389
      6144,0.00199389
      7168,0.00199389
      8192,0.00199485
     10240,0.00198507
     12288,0.00199413
     14336,0.00198412
     16384,0.00199389
     20480,0.00199389
     24576,0.00196004
     28672,0.00199103
     32768,0.00195789
     40960,0.00199294
     49152,0.00195289
     57344,0.00199199
     65536,0.00199389
     81920,0.00195503
     98304,0.00198984
    114688,0.00199509
    131072,0.00199413
    163840,0.00195503
    196608,0.00199294
    229376,0.00199509
    262144,0.00199103
    327680,0.00199103
    393216,0.00197411
    458752,0.00197911
    524288,0.00195313
    655360,0.00199294
    786432,0.00199294
    917504,0.00199389
   1048576,0.00199294
   1310720,0.00195599
   1572864,0.00198293
   1835008,0.00199389
   2097152,0.00199008
   2621440,0.00199294
   3145728,0.00199509
   3670016,0.00199008
   4194304,0.00199008
   5242880,0.00198483
   6291456,0.00198984
   7340032,0.00196004
   8388608,0.00199103
  10485760,0.00199580
  12582912,0.00199509
  14680064,0.00199199
  16777216,0.00195789
  20971520,0.00199413
  25165824,0.00197005
  29360128,0.00198984
  33554432,0.00200081
  41943040,0.00195384
  50331648,0.00198293
  58720256,0.00199199
  67108864,0.00199509
  83886080,0.00199389
 100663296,0.00199389
 117440512,0.00196004
 134217728,0.00199389
