Size,Runtime
(bytes),(seconds)
      2560,0.01999998
      3072,0.01999211
      3584,0.01998997
      4096,0.01999903
      5120,0.01997399
      6144,0.01999903
      7168,0.01994705
      8192,0.01999903
     10240,0.01997519
     12288,0.01997590
     14336,0.01997399
     16384,0.01997399
     20480,0.01999903
     24576,0.01999092
     28672,0.01999903
     32768,0.01997280
     40960,0.01996493
     49152,0.01999211
     57344,0.01999092
     65536,0.01609898
     81920,0.01812005
     98304,0.01997280
    114688,0.01999307
    131072,0.01999021
    163840,0.01996493
    196608,0.01999092
    229376,0.01999283
    262144,0.01999998
    327680,0.01999998
    393216,0.01997089
    458752,0.01999116
    524288,0.01994991
    655360,0.01996613
    786432,0.01997280
    917504,0.01997399
   1048576,0.01998997
   1310720,0.01808214
   1572864,0.01999879
   1835008,0.01996398
   2097152,0.01996088
   2621440,0.01999903
   3145728,0.01999402
   3670016,0.01999998
   4194304,0.01999903
   5242880,0.01999903
   6291456,0.01997399
   7340032,0.01996708
   8388608,0.01997495
  10485760,0.01996708
  12582912,0.01999903
  14680064,0.01999807
  16777216,0.01999021
  20971520,0.01999092
  25165824,0.01999903
  29360128,0.01999807
  33554432,0.02592993
  41943040,0.02592897
  50331648,0.01997495
  58720256,0.01999998
  67108864,0.01997399
  83886080,0.01999784
 100663296,0.02997303
 117440512,0.01999402
 134217728,0.01998782
