Size,Runtime
(bytes),(seconds)
      2560,0.00000000
      3072,0.00000000
      3584,0.00000000
      4096,0.00000000
      5120,0.00000000
      6144,0.00000000
      7168,0.00000000
      8192,0.00000000
     10240,0.00000000
     12288,0.00000000
     14336,0.00198603
     16384,0.00000000
     20480,0.00000000
     24576,0.00000000
     28672,0.00199389
     32768,0.00199509
     40960,0.00296116
     49152,0.00298905
     57344,0.00299096
     65536,0.00301814
     81920,0.00299191
     98304,0.00398016
    114688,0.00398898
    131072,0.00398803
    163840,0.00399017
    196608,0.00397491
    229376,0.00000000
    262144,0.00698185
    327680,0.00000000
    393216,0.00000000
    458752,0.00000000
    524288,0.00000000
    655360,0.00000000
    786432,0.00000000
    917504,0.00000000
   1048576,0.00000000
   1310720,0.00000000
   1572864,0.00000000
   1835008,0.00999212
   2097152,0.00000000
   2621440,0.00000000
   3145728,0.00996995
   3670016,0.00524402
   4194304,0.00999188
   5242880,0.01002693
   6291456,0.01000214
   7340032,0.00311208
   8388608,0.00892901
  10485760,0.00999904
  12582912,0.00997400
  14680064,0.00996804
  16777216,0.00998497
  20971520,0.00999188
  25165824,0.00731611
  29360128,0.00424790
  33554432,0.00994802
  41943040,0.00629401
  50331648,0.00998116
  58720256,0.00354099
  67108864,0.01197481
  83886080,0.00999212
 100663296,0.00999904
 117440512,0.00996494
 134217728,0.00999999
