Size,Runtime
(bytes),(seconds)
      2560,0.00199199
      3072,0.00199413
      3584,0.00199389
      4096,0.00199389
      5120,0.00199389
      6144,0.00194311
      7168,0.00195885
      8192,0.00199008
     10240,0.00199199
     12288,0.00199389
     14336,0.00196195
     16384,0.00199294
     20480,0.00199413
     24576,0.00199509
     28672,0.00194192
     32768,0.00199389
     40960,0.00199080
     49152,0.00293493
     57344,0.00298810
     65536,0.00299191
     81920,0.00299191
     98304,0.00395513
    114688,0.00398779
    131072,0.00398898
    163840,0.00398302
    196608,0.00398588
    229376,0.00398779
    262144,0.00398493
    327680,0.00792480
    393216,0.00797510
    458752,0.00797796
    524288,0.00797892
    655360,0.00797796
    786432,0.00897288
    917504,0.00897312
   1048576,0.00895500
   1310720,0.00892305
   1572864,0.00897598
   1835008,0.00898194
   2097152,0.00998902
   2621440,0.00992799
   3145728,0.00997186
   3670016,0.01097107
   4194304,0.01198006
   5242880,0.01196790
   6291456,0.01196814
   7340032,0.01196790
   8388608,0.01196790
  10485760,0.01196504
  12582912,0.01194906
  14680064,0.01196504
  16777216,0.01196694
  20971520,0.01193094
  25165824,0.01196694
  29360128,0.01197100
  33554432,0.01191807
  41943040,0.01194906
  50331648,0.01197290
  58720256,0.01196790
  67108864,0.00489402
  83886080,0.00313115
 100663296,0.00997496
 117440512,0.00998807
 134217728,0.00603509
