Size,Runtime
(bytes),(seconds)
      2560,0.01999712
      3072,0.01999712
      3584,0.01713395
      4096,0.01912403
      5120,0.01996303
      6144,0.01999187
      7168,0.02490687
      8192,0.02488685
     10240,0.02496600
     12288,0.01999998
     14336,0.01994777
     16384,0.01999879
     20480,0.01998496
     24576,0.01997399
     28672,0.01997280
     32768,0.01999116
     40960,0.01997495
     49152,0.02597499
     57344,0.02999806
     65536,0.02809811
     81920,0.02998590
     98304,0.03002596
    114688,0.03996706
    131072,0.02999091
    163840,0.03996587
    196608,0.03996801
    229376,0.03996015
    262144,0.03999901
    327680,0.07697201
    393216,0.07996297
    458752,0.07995081
    524288,0.07999206
    655360,0.07999897
    786432,0.08998799
    917504,0.07996416
   1048576,0.08997297
   1310720,0.08997416
   1572864,0.08997488
   1835008,0.08999205
   2097152,0.08996701
   2621440,0.09997296
   3145728,0.10999894
   3670016,0.10997605
   4194304,0.10999894
   5242880,0.11997294
   6291456,0.11996698
   7340032,0.10997486
   8388608,0.10996604
  10485760,0.11996698
  12582912,0.12000012
  14680064,0.11997509
  16777216,0.12000012
  20971520,0.12000489
  25165824,0.11996198
  29360128,0.12000704
  33554432,0.11999798
  41943040,0.11997604
  50331648,0.12000108
  58720256,0.11997390
  67108864,0.11996579
  83886080,0.11997604
 100663296,0.12001395
 117440512,0.11996603
 134217728,0.11999989
