Size,Runtime
(bytes),(seconds)
      2560,0.00196695
      3072,0.00199509
      3584,0.00198984
      4096,0.00194812
      5120,0.00199389
      6144,0.00199103
      7168,0.00199389
      8192,0.00199509
     10240,0.00199008
     12288,0.00199103
     14336,0.00199294
     16384,0.00199103
     20480,0.00199509
     24576,0.00199389
     28672,0.00199413
     32768,0.00199389
     40960,0.00201106
     49152,0.00298905
     57344,0.00299096
     65536,0.00299191
     81920,0.00299191
     98304,0.00397491
    114688,0.00396299
    131072,0.00398898
    163840,0.00398684
    196608,0.00397301
    229376,0.00598502
    262144,0.00598502
    327680,0.00797892
    393216,0.00792599
    458752,0.00796580
    524288,0.00792789
    655360,0.00797319
    786432,0.00892401
    917504,0.00897598
   1048576,0.00895309
   1310720,0.00897193
   1572864,0.00897789
   1835008,0.00897217
   2097152,0.00994396
   2621440,0.01096988
   3145728,0.01095080
   3670016,0.01196814
   4194304,0.01291299
   5242880,0.01196694
   6291456,0.01196790
   7340032,0.01196384
   8388608,0.01291299
  10485760,0.01295686
  12582912,0.01200199
  14680064,0.01196790
  16777216,0.01296496
  20971520,0.01296496
  25165824,0.01296592
  29360128,0.01296592
  33554432,0.01097202
  41943040,0.01097202
  50331648,0.01191998
  58720256,0.01196790
  67108864,0.01200795
  83886080,0.01196790
 100663296,0.01193404
 117440512,0.01196504
 134217728,0.01196504
