Size,Runtime
(bytes),(seconds)
      2560,0.00197315
      3072,0.00199389
      3584,0.00199294
      4096,0.00199389
      5120,0.00195098
      6144,0.00199389
      7168,0.00198698
      8192,0.00199389
     10240,0.00000000
     12288,0.00000000
     14336,0.00000000
     16384,0.00199389
     20480,0.00198388
     24576,0.00000000
     28672,0.00199485
     32768,0.00000000
     40960,0.00199413
     49152,0.00000000
     57344,0.00299406
     65536,0.00299406
     81920,0.00302696
     98304,0.00398183
    114688,0.00000000
    131072,0.00000000
    163840,0.00000000
    196608,0.00395393
    229376,0.00000000
    262144,0.00000000
    327680,0.00000000
    393216,0.00000000
    458752,0.00000000
    524288,0.00000000
    655360,0.00000000
    786432,0.00000000
    917504,0.00000000
   1048576,0.00000000
   1310720,0.00553989
   1572864,0.00000000
   1835008,0.00822806
   2097152,0.00525403
   2621440,0.00997591
   3145728,0.01291800
   3670016,0.01196313
   4194304,0.01196814
   5242880,0.01291704
   6291456,0.01196790
   7340032,0.01197600
   8388608,0.01391602
  10485760,0.01296401
  12582912,0.01296496
  14680064,0.01296496
  16777216,0.01396894
  20971520,0.01495194
  25165824,0.01396203
  29360128,0.00999713
  33554432,0.00998902
  41943040,0.01296496
  50331648,0.01595688
  58720256,0.01496005
  67108864,0.00999808
  83886080,0.01396394
 100663296,0.01197791
 117440512,0.00997210
 134217728,0.00997615
